Country,Goal,Window,Model Type,Model,params,Error (MSE),Error (R2),Prediction Year,Prediction,Actual Value,Prediction Error
Afghanistan,goal1,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b3bf9df30>,"Intercept   -2776.05
year            1.39
dtype: float64",16.307313738892713,0.82808554793336,2021,37.60000000000127,20.0,17.600000000001273
Afghanistan,goal2,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b3bf9ddb0>,"Intercept   -1015.56
year            0.52
dtype: float64",7.169583048530523,0.6075907220351607,2021,42.18571428571511,38.0,4.1857142857151075
Afghanistan,goal3,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b3bf9e830>,"Intercept   -1971.51
year            0.99
dtype: float64",1.5227158806106742,0.9634218159925552,2021,38.990476190477466,35.0,3.990476190477466
Afghanistan,goal4,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b3bfe2770>,"Intercept   -4305.54
year            2.15
dtype: float64",118.31970836181362,0.612464590080745,2021,35.67619047619064,35.0,0.6761904761906408
Afghanistan,goal5,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b3bfe0760>,"Intercept   -484.71
year           0.25
dtype: float64",2.3912736386420526,0.5156760498384878,2021,21.852380952380997,29.0,-7.147619047619003
Afghanistan,goal6,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b3bfe04f0>,"Intercept   -3590.38
year            1.80
dtype: float64",5.797493734335662,0.9577142439309753,2021,47.41904761904789,50.0,-2.5809523809521124
Afghanistan,goal7,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b3bfe37c0>,"Intercept   -1441.42
year            0.73
dtype: float64",30.356071998177388,0.41560973042204097,2021,33.647619047620765,37.0,-3.352380952379235
Afghanistan,goal8,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b3bff5cc0>,"Intercept   -203.42
year           0.12
dtype: float64",0.49589883800410217,0.5543611793611785,2021,45.928571428571416,45.0,0.9285714285714164
Afghanistan,goal9,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b3bff4e50>,"Intercept   -689.93
year           0.35
dtype: float64",0.8615402141717959,0.8497576287349009,2021,10.861904761904725,11.0,-0.1380952380952749
Afghanistan,goal11,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b3bff5a20>,"Intercept   -208.96
year           0.12
dtype: float64",1.052927773980403,0.35957594235033397,2021,35.1380952380957,34.0,1.1380952380957012
Afghanistan,goal12,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b3bff7c40>,"Intercept   207.39
year         -0.06
dtype: float64",0.3247436773752555,0.28015151515151704,2021,94.52857142857124,95.0,-0.4714285714287598
Afghanistan,goal13,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42b952d0>,"Intercept   80.35
year         0.01
dtype: float64",0.5730918204602394,0.005810276679845572,2021,98.7190476190473,99.0,-0.2809523809526979
Afghanistan,goal15,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42b96350>,"Intercept   -1194.08
year            0.62
dtype: float64",14.873091820460187,0.5142933674608271,2021,65.76190476190322,78.0,-12.238095238096776
Afghanistan,goal16,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42b961d0>,"Intercept   -582.26
year           0.31
dtype: float64",1.7370699475962723,0.6938644394474768,2021,47.66666666666595,45.0,2.6666666666659467
Afghanistan,goal17,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42b96860>,"Intercept   -388.92
year           0.21
dtype: float64",4.875666438824333,0.27138917262512763,2021,38.8999999999989,43.0,-4.100000000001103
Albania,goal1,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b40ae6ce0>,"Intercept   -709.52
year           0.40
dtype: float64",3.896741854636554,0.6246257846451027,2021,98.87619047618989,98.0,0.8761904761898904
Albania,goal2,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42ba9960>,"Intercept   -1262.61
year            0.65
dtype: float64",9.89264069264079,0.6351974458074238,2021,54.98095238095152,58.0,-3.0190476190484787
Albania,goal3,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42baab60>,"Intercept   -955.24
year           0.51
dtype: float64",0.5042606516290826,0.9550692273336302,2021,84.13333333333321,82.0,2.133333333333212
Albania,goal4,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42baa920>,"Intercept   -938.91
year           0.51
dtype: float64",2.453064479380288,0.8129971862298939,2021,97.8333333333328,92.0,5.833333333332803
Albania,goal5,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42bbea70>,"Intercept   -1921.29
year            0.98
dtype: float64",2.3311232627021616,0.9432647199086152,2021,55.09047619047692,55.0,0.09047619047692024
Albania,goal6,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42bbfb80>,"Intercept   -456.05
year           0.26
dtype: float64",0.2659603554340425,0.9137250554323716,2021,76.75714285714497,76.0,0.7571428571449701
Albania,goal7,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42bbfbb0>,"Intercept   -1341.72
year            0.71
dtype: float64",3.4912736386421757,0.8528087297318017,2021,86.10476190476334,89.0,-2.895238095236664
Albania,goal8,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42bbf0d0>,"Intercept   -64.11
year          0.06
dtype: float64",1.3813624971519716,0.10233935445661779,2021,61.87619047619074,63.0,-1.123809523809257
Albania,goal9,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42bdd2a0>,"Intercept   -2490.60
year            1.25
dtype: float64",4.197881066301907,0.9381296341070309,2021,42.214285714285325,44.0,-1.7857142857146755
Albania,goal10,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42bdf670>,"Intercept   -114.29
year           0.10
dtype: float64",26.767669172932315,0.01491422246817975,2021,87.81428571428597,92.0,-4.1857142857140275
Albania,goal11,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42bde080>,"Intercept   -546.19
year           0.31
dtype: float64",0.37794486215537876,0.913729977116707,2021,88.98095238095141,89.0,-0.019047619048592423
Albania,goal12,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42bde710>,"Intercept   287.22
year         -0.10
dtype: float64",0.4155160628844825,0.506574675324677,2021,79.8714285714297,79.0,0.8714285714297034
Albania,goal13,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42bf1660>,"Intercept   215.35
year         -0.06
dtype: float64",1.155798587377532,0.11991672449687907,2021,89.36190476190482,90.0,-0.6380952380951754
Albania,goal14,2020,ols,<statsmodels.regression.linear_model.RegressionResultsWrapper object at 0x794b42bf3b20>,"Intercept   -1391.63
year            0.71
dtype: float64",2.621485532011848,0.8871171241881365,2021,49.31904761904866,50.0,-0.6809523809513394
